2024-09-20 20:41:31 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:32 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:33 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:34 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:35 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:36 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:37 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:38 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:39 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:41:40 - USB device connected: {'Vendor ID': '0x4d9', 'Product ID': '0xa1cd', 'Manufacturer': None, 'Product': None, 'Serial Number': None}
2024-09-20 20:42:23 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:42:24 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:42:25 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:42:26 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:42:27 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
2024-09-20 20:42:28 - USB device connected: {'Vendor ID': '0xd8c', 'Product ID': '0x12', 'Manufacturer': 'C-Media Electronics Inc.\x00\x00\x00\x00\x00\x00', 'Product': 'USB Audio Device\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'Serial Number': None}
